model,severity,mean_accuracy,std_over_seeds,n_seeds
none,0,86.0933,2.1008,3
none,1,83.9567,2.2522,3
none,2,80.9908,2.9302,3
none,3,75.5333,3.0016,3
none,4,67.1225,2.8443,3
none,5,55.0083,0.9915,3
SE,0,89.2100,0.1819,3
SE,1,87.2867,0.1010,3
SE,2,85.0550,0.0548,3
SE,3,80.0917,0.2266,3
SE,4,71.9775,0.0629,3
SE,5,57.1633,0.0544,3
BAM,0,81.5633,2.4744,3
BAM,1,79.2775,2.7085,3
BAM,2,75.5075,3.0883,3
BAM,3,70.0783,3.0834,3
BAM,4,62.8342,2.6661,3
BAM,5,52.9092,2.2008,3
CBAM,0,89.3167,0.0764,3
CBAM,1,87.6758,0.2213,3
CBAM,2,85.5833,0.2831,3
CBAM,3,80.9350,0.6720,3
CBAM,4,73.1333,0.4907,3
CBAM,5,58.8667,0.7743,3
