model,seed,corruption,severity,accuracy
BAM,2,clean,0,82.44
BAM,2,brightness,1,81.9
BAM,2,brightness,2,81.23
BAM,2,brightness,3,80.03
BAM,2,brightness,4,78.51
BAM,2,brightness,5,74.82
BAM,2,contrast,1,79.91
BAM,2,contrast,2,68.05
BAM,2,contrast,3,57.35
BAM,2,contrast,4,41.09
BAM,2,contrast,5,21.46
BAM,2,defocus_blur,1,82.16
BAM,2,defocus_blur,2,80.22
BAM,2,defocus_blur,3,75.4
BAM,2,defocus_blur,4,69.85
BAM,2,defocus_blur,5,56.15
BAM,2,elastic_transform,1,76.8
BAM,2,elastic_transform,2,76.5
BAM,2,elastic_transform,3,73.73
BAM,2,elastic_transform,4,70.82
BAM,2,elastic_transform,5,69.21
