model,seed,corruption,severity,accuracy
CBAM,1,clean,0,89.25
CBAM,1,brightness,1,89.18
CBAM,1,brightness,2,88.86
CBAM,1,brightness,3,88.31
CBAM,1,brightness,4,87.51
CBAM,1,brightness,5,84.33
CBAM,1,contrast,1,88.74
CBAM,1,contrast,2,82.67
CBAM,1,contrast,3,76.24
CBAM,1,contrast,4,62.53
CBAM,1,contrast,5,29.34
CBAM,1,defocus_blur,1,89.23
CBAM,1,defocus_blur,2,87.26
CBAM,1,defocus_blur,3,80.2
CBAM,1,defocus_blur,4,67.69
CBAM,1,defocus_blur,5,51.91
CBAM,1,elastic_transform,1,83.57
CBAM,1,elastic_transform,2,83.15
CBAM,1,elastic_transform,3,78.18
CBAM,1,elastic_transform,4,74.36
CBAM,1,elastic_transform,5,71.9
