model,seed,corruption,severity,accuracy
none,3,clean,0,86.16
none,3,brightness,1,86.06
none,3,brightness,2,85.65
none,3,brightness,3,84.85
none,3,brightness,4,83.68
none,3,brightness,5,80.05
none,3,contrast,1,84.74
none,3,contrast,2,76.27
none,3,contrast,3,65.24
none,3,contrast,4,46.52
none,3,contrast,5,22.75
none,3,defocus_blur,1,85.92
none,3,defocus_blur,2,83.6
none,3,defocus_blur,3,76.35
none,3,defocus_blur,4,64.72
none,3,defocus_blur,5,47.16
none,3,elastic_transform,1,79.41
none,3,elastic_transform,2,79.34
none,3,elastic_transform,3,74.69
none,3,elastic_transform,4,69.17
none,3,elastic_transform,5,66.33
