model,seed,corruption,severity,accuracy
SE,1,clean,0,89.1
SE,1,brightness,1,88.73
SE,1,brightness,2,88.15
SE,1,brightness,3,87.29
SE,1,brightness,4,86.02
SE,1,brightness,5,82.7
SE,1,contrast,1,88.13
SE,1,contrast,2,82.19
SE,1,contrast,3,75.85
SE,1,contrast,4,62.83
SE,1,contrast,5,28.25
SE,1,defocus_blur,1,88.88
SE,1,defocus_blur,2,86.94
SE,1,defocus_blur,3,79.97
SE,1,defocus_blur,4,67.18
SE,1,defocus_blur,5,50.02
SE,1,elastic_transform,1,82.94
SE,1,elastic_transform,2,82.7
SE,1,elastic_transform,3,77.78
SE,1,elastic_transform,4,72.04
SE,1,elastic_transform,5,67.75
